Path,File Name,AI Description,Developer Remark
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\app.ini,"App settings for Flask (base URL, DB Email)",
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\app.py,Flask app factory registering extensions blueprints and middleware.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\config.py,Loads app.ini values into Config (database,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\data_dict.csv,Development database schema and seed data dump.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\emailer.py,SMTP utility for sending emails.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\extensions.py,Creates shared Flask extensions (SQLAlchemy Login Manager),
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\models.py,Core RB* SQLAlchemy models.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\rbfiles.csv,,list of all the files used in this project
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\routes_admin.py,Flask admin blueprint routes.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\routes_auth.py,Authentication routes (login/register/forgot).,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\routes_home.py,Home/index routes.,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\routes_user.py,User-facing routes (welcome/profile).,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\security.py,Security helpers (passwords/tokens).,
A-Home,C:\Users\Hp\Dropbox\AppDev\rgapp\tokens.py,Token utilities.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat ,Chat module package (threads/messages UI + API).,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\__init__.py,Registers chat module blueprint.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\models.py,Chat SQLAlchemy models (threads members  messages reactions),
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\permissions.py,Chat access checks (module enabled membership).,
